algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, TopSpinC16x4, 13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15 , 8, 607827086, 111.022385, 5474815.500000
dfid, TopSpinC16x4, 9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15 , na, na, na, na
dfid, TopSpinC16x4, 3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15 , na, na, na, na
dfid, TopSpinC16x4, 0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15 , na, na, na, na
dfid, TopSpinC16x4, 8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15 , 6, 2180959, 0.398189, 5477195.500000
dfid, TopSpinC16x4, 6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15 , 8, 85801012, 15.731157, 5454208.500000
dfid, TopSpinC16x4, 5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15 , na, na, na, na
dfid, TopSpinC16x4, 4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15 , 6, 4774749, 1.179606, 4047749.250000
dfid, TopSpinC16x4, 4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15 , na, na, na, na
dfid, TopSpinC16x4, 14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15 , na, na, na, na
dfid, TopSpinC16x4, 13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15 , na, na, na, na
dfid, TopSpinC16x4, 0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15 , na, na, na, na
dfid, TopSpinC16x4, 7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15 , na, na, na, na
dfid, TopSpinC16x4, 4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15 , 6, 1467575, 0.270945, 5416505.000000
dfid, TopSpinC16x4, 14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15 , na, na, na, na
dfid, TopSpinC16x4, 0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15 , 2, 422, 0.000106, 3981132.000000
dfid, TopSpinC16x4, 0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15 , 4, 89874, 0.017899, 5021174.500000
dfid, TopSpinC16x4, 3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15 , 6, 7341128, 1.386714, 5293902.000000
dfid, TopSpinC16x4, 4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15 , 4, 61365, 0.011294, 5433416.000000
dfid, TopSpinC16x4, 14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15 , na, na, na, na
dfid, TopSpinC16x4, 14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15 , 4, 60007, 0.010861, 5524997.500000
dfid, TopSpinC16x4, 2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15 , na, na, na, na
dfid, TopSpinC16x4, 0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15 , na, na, na, na
dfid, TopSpinC16x4, 2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15 , na, na, na, na
dfid, TopSpinC16x4, 14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15 , 4, 72531, 0.012898, 5623430.000000
dfid, TopSpinC16x4, 0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15 , 8, 428545173, 80.323738, 5335224.500000
dfid, TopSpinC16x4, 0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15 , 6, 3451068, 0.635943, 5426694.000000
dfid, TopSpinC16x4, 0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15 , 4, 64223, 0.011997, 5353255.000000
dfid, TopSpinC16x4, 2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15 , na, na, na, na
dfid, TopSpinC16x4, 3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15 , 8, 222640903, 41.113792, 5415236.000000
